ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,benchmark,delist_date,benchmark_normalized,recovered_index_code,recovered_index_name,recovered_cluster,exact_benchmark_matches,recovery_pass,recovery_reason
512340.SH,南方中证500原材料指数ETF,南方中证500原材料指数ETF,中证500原材料指数交易型开放式指数证券投资基金,,,20150416,20150515,D,SH,南方基金,中国农业银行股份有限公司,,纯境内,中证500原材料指数×100%,20210416,中证500原材料,H30251.CSI,中证500原材料指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512350.SH,兴业中证福建50ETF,兴业中证福建50ETF,兴业中证福建50交易型开放式指数证券投资基金,,,20200727,20200910,D,SH,兴业基金,招商银行股份有限公司,,纯境内,中证福建50指数收益率×100%,20220317,中证福建50,930703.CSI,中证福建50指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512590.SH,浦银安盛中证高股息精选ETF,浦银安盛中证高股息精选ETF,浦银安盛中证高股息精选交易型开放式指数证券投资基金,,,20190129,20190308,D,SH,浦银安盛基金,交通银行股份有限公司,,纯境内,中证高股息精选指数收益率×100%,20230428,中证高股息精选,930838.CSI,中证高股息精选指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512610.SH,嘉实中证医药卫生ETF,嘉实中证医药卫生ETF,嘉实中证医药卫生交易型开放式指数证券投资基金,,,20140613,20140725,D,SH,嘉实基金,中国银行股份有限公司,,纯境内,中证医药卫生指数×100%,20221222,中证医药卫生,000933.SH,中证医药卫生指数,healthcare,1,True,exact_normalized_benchmark
512780.SH,广发中证京津冀协同发展主题ETF,广发中证京津冀协同发展主题ETF,广发中证京津冀协同发展主题交易型开放式指数证券投资基金,,,20180419,20180524,D,SH,广发基金,中国工商银行股份有限公司,,纯境内,中证京津冀协同发展主题指数×100%,20230112,中证京津冀协同发展主题,930701.CSI,中证京津冀协同发展主题指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512790.SH,华安中证民企成长ETF,华安中证民企成长ETF,华安中证民企成长交易型开放式指数证券投资基金,,,20190726,20190906,D,SH,华安基金,海通证券股份有限公司,,纯境内,中证民企成长指数收益率×100%,20200731,中证民企成长,000939.CSI,中证民企成长指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512850.SH,中信建投中证北京50ETF,中信建投中证北京50ETF,中信建投中证北京50交易型开放式指数证券投资基金,,,20180927,20181109,D,SH,中信建投基金,招商银行股份有限公司,,纯境内,中证北京50指数收益率×100%,20210219,中证北京50,931023.CSI,中证北京50指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
512860.SH,华安MSCI中国A股国际ETF,华安MSCI中国A股国际ETF,华安MSCI中国A股国际交易型开放式指数证券投资基金,,,20180927,20181026,D,SH,华安基金,中国农业银行股份有限公司,,纯境内,MSCI中国A股国际指数收益率×100%,20210430,MSCI中国A股国际,,,,0,False,ambiguous_or_non_theme_or_unmatched
512920.SH,新华MSCI中国A股国际ETF,新华MSCI中国A股国际ETF,新华MSCI中国A股国际交易型开放式指数证券投资基金,,,20181107,20181207,D,SH,新华基金,中国农业银行股份有限公司,,纯境内,MSCI中国A股国际指数×100%,20230208,MSCI中国A股国际,,,,0,False,ambiguous_or_non_theme_or_unmatched
513680.SH,建信港股通恒生中国企业ETF,建信港股通恒生中国企业ETF,建信港股通恒生中国企业交易型开放式指数证券投资基金,,,20181213,20190121,D,SH,建信基金,兴业银行股份有限公司,,纯境内,恒生中国企业指数收益率×100%,20230327,恒生中国企业,,,,0,False,ambiguous_or_non_theme_or_unmatched
513960.SH,博时中证港股通消费主题ETF,博时中证港股通消费主题ETF,博时中证港股通消费主题交易型开放式指数证券投资基金,,,20220303,20220318,D,SH,博时基金,平安银行股份有限公司,,纯境内,中证港股通消费主题指数(人民币)收益率×100%,20241108,中证港股通消费主题,,,,2,False,ambiguous_or_non_theme_or_unmatched
515280.SH,富国中证银行ETF,富国中证银行ETF,富国中证银行交易型开放式指数证券投资基金,,,20200401,20200417,D,SH,富国基金,中信证券股份有限公司,,纯境内,中证银行指数收益率×100%,20240925,中证银行,399986.SZ,中证银行指数,financials,1,True,exact_normalized_benchmark
515500.SH,海富通中证长三角领先ETF,海富通中证长三角领先ETF,海富通中证长三角领先交易型开放式指数证券投资基金,,,20200813,20200918,D,SH,海富通基金,中国银行股份有限公司,,纯境内,中证长三角领先指数收益率×100%,20230410,中证长三角领先,931381.CSI,中证长三角领先指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515510.SH,嘉实中证500成长估值ETF,嘉实中证500成长估值ETF,嘉实中证500成长估值交易型开放式指数证券投资基金,,,20200316,20200506,D,SH,嘉实基金,中国银行股份有限公司,,纯境内,中证500成长估值指数收益率×100%,20230508,中证500成长估值,930938.CSI,中证500成长估值指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515520.SH,大成MSCI中国A股质优价值100ETF,大成MSCI中国A股质优价值100ETF,大成MSCI中国A股质优价值100交易型开放式指数证券投资基金,,,20190926,20191118,D,SH,大成基金,中国农业银行股份有限公司,,纯境内,MSCI中国A股质优价值100指数收益率×100%,20230613,MSCI中国A股质优价值100,,,,0,False,ambiguous_or_non_theme_or_unmatched
515570.SH,山西证券中证红利潜力ETF,山西证券中证红利潜力ETF,山西证券中证红利潜力交易型开放式指数证券投资基金,,,20200117,20200409,D,SH,山西证券,中国银行股份有限公司,,纯境内,中证红利潜力指数收益率×100%,20231218,中证红利潜力,H30089.CSI,中证红利潜力指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
515610.SH,中银中证800ETF,中银中证800ETF,中银中证800交易型开放式指数证券投资基金,,,20200716,20200818,D,SH,中银基金,中信银行股份有限公司,,纯境内,中证800指数收益率×100%,20220930,中证800,000906.SH,中证800指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
