score,components,component_count,condition,horizon,ic_days,rank_ic_mean,rank_ic_std,rank_ic_ir_annualized,positive_ratio,oos_rank_ic_mean,nw_t_value,nw_p_value,fdr_q,promising,exploratory_score
pair:volatility_contraction+breakout_acceleration,volatility_contraction+breakout_acceleration,2,shallow_breakout,5,1130,-0.01910143446814857,0.2520431409715217,-1.2030713097571344,0.46814159292035395,-0.02496838255657377,-2.519578054765182,0.011749558651251046,0.021811335396797523,False,-0.3210518737592497
pair:pre_acceleration+relative_volume,pre_acceleration+relative_volume,2,shallow_breakout,3,1132,-0.019089232537489766,0.2642760749788042,-1.146650040507778,0.47791519434628976,-0.0077349055741000395,-2.260934292261043,0.023763326232735176,0.04108650573344264,False,-0.3211305966118945
pair:volatility_contraction+relative_volume,volatility_contraction+relative_volume,2,volume_confirmed,20,1249,-0.018228183184025287,0.20851993274026256,-1.387701566666054,0.46277021617293834,-0.03271168279670447,-1.9951634667203542,0.04602505414152531,0.07287661730232094,False,-0.32210287994513004
pair:trend_flatness+breakout_acceleration,trend_flatness+breakout_acceleration,2,gap_led_breakout,20,435,-0.03089828158327668,0.3031678978392211,-1.6178989185448225,0.4413793103448276,-0.015633922964466678,-2.8978497923350925,0.0037573049193681323,0.007723008480267286,False,-0.3222173781346076
pair:approach_velocity+relative_volume,approach_velocity+relative_volume,2,pre_decelerating,3,933,-0.010572848409785165,0.27854488645396996,-0.6025555427993587,0.4908896034297964,0.009961273927780926,-1.124345997756278,0.2608662718339283,0.33150933183131587,False,-0.3229481695598302
pair:range_compactness+breakout_acceleration,range_compactness+breakout_acceleration,2,volume_weak,20,83,-0.07108230418056125,0.34315554154904004,-3.2882948408222443,0.42168674698795183,-0.26994644001501417,-1.4711506414439233,0.1412503821923443,0.1942433632331283,False,-0.3237953054447672
pair:volatility_contraction+pre_acceleration,volatility_contraction+pre_acceleration,2,strong_breakout,10,1144,-0.019178446616996272,0.2504393026012572,-1.2156574408424048,0.4632867132867133,-0.034556627649275994,-2.4730873622939407,0.01339513935734034,0.02451224789017591,False,-0.32433696210472074
single:consolidation_age,consolidation_age,1,pre_decelerating,3,933,-0.021257381961319967,0.26907865424243027,-1.2540960490301385,0.4608788853161844,-0.022632866644601644,-2.403687083417979,0.01623065973420041,0.029080172435254202,False,-0.32465388360665665
pair:volatility_contraction+breakout_acceleration,volatility_contraction+breakout_acceleration,2,volume_weak,5,83,-0.07131005648308243,0.3430136864557989,-3.300194998892863,0.3855421686746988,-0.0742949581682158,-1.9418645293875305,0.052153502453304516,0.08132848154846992,False,-0.3248327665570754
pair:approach_velocity+relative_volume,approach_velocity+relative_volume,2,continuous_breakout,5,1230,-0.018530892534408323,0.21966379266713082,-1.3391774572262716,0.4634146341463415,-0.020039997822133462,-2.569035560750496,0.010198199169587904,0.01910740662257362,False,-0.3249517629932948
pair:trend_flatness+relative_volume,trend_flatness+relative_volume,2,continuous_breakout,1,1234,-0.01851084526283624,0.21637463123300563,-1.3580638222876507,0.45705024311183146,-0.016317118520273274,-3.00644685435409,0.002643202534161892,0.005604434485559922,False,-0.32512759731885227
pair:volatility_contraction+relative_volume,volatility_contraction+relative_volume,2,market_up,3,776,-0.023378977058877627,0.17234289328718377,-2.1534381148563773,0.4252577319587629,-0.028854087682732184,-3.615605136758649,0.00029964682888137915,0.0007642813854059469,False,-0.3256314699994276
pair:pre_acceleration+relative_volume,pre_acceleration+relative_volume,2,market_up,1,776,-0.023392341135121085,0.18854902291473372,-1.969471374723751,0.452319587628866,-0.01991994173952929,-3.45828095152878,0.0005436341466852946,0.0013128491132217944,False,-0.32581761004231236
pair:breakout_strength+continuous_move,breakout_strength+continuous_move,2,pre_accelerating,1,1176,-0.01902034290448284,0.22813385922003981,-1.3235149928681798,0.43962585034013607,-0.009305768758159454,-2.8603355474447043,0.0042319297710109,0.008600373405602796,False,-0.32613094394124664
pair:breakout_strength+continuous_move,breakout_strength+continuous_move,2,market_down,10,495,-0.029327685256078012,0.2443952957988421,-1.9049571669486862,0.4626262626262626,-0.05205516325339631,-2.826421256585982,0.004707131559446079,0.00947820337978755,False,-0.3262499025392153
pair:approach_velocity+breakout_strength,approach_velocity+breakout_strength,2,gap_led_breakout,5,440,-0.03114028222555848,0.32886930242645795,-1.5031401578190788,0.44545454545454544,-0.03077378969346808,-2.1313442651823107,0.033060790863533564,0.05515603639596463,False,-0.3266020353268143
pair:range_compactness+relative_volume,range_compactness+relative_volume,2,pre_accelerating,3,1174,-0.019128014666623453,0.2376590875691278,-1.2776613021598362,0.46422487223168657,-0.029327764717260566,-2.627203042691821,0.008608994736791106,0.016429130432952355,False,-0.3276981192849693
pair:approach_velocity+breakout_strength,approach_velocity+breakout_strength,2,continuous_breakout,10,1224,-0.01874042041180277,0.2163917338600253,-1.3747981308704227,0.45751633986928103,-0.03204441745619328,-2.7179681346764135,0.006568416366447239,0.012821385936055031,False,-0.3278234697311967
pair:pre_acceleration+continuous_move,pre_acceleration+continuous_move,2,gap_led_breakout,3,440,-0.03134464287479365,0.3392593339419914,-1.4666679147878638,0.4431818181818182,-0.06497729405264886,-1.9134808588066847,0.055686521650248295,0.08593388521654972,False,-0.3287453878981708
pair:breakout_strength+continuous_move,breakout_strength+continuous_move,2,market_up,3,776,-0.023603275037129612,0.16182274297937418,-2.3154370538458897,0.41494845360824745,-0.029496378985232188,-4.062268084333101,4.859821990774421e-05,0.0001412543416003638,False,-0.32875557933030863
pair:trend_flatness+relative_volume,trend_flatness+relative_volume,2,market_down,20,485,-0.029890703741295915,0.2481274833456943,-1.9123242829653901,0.44948453608247424,-0.0036627581535750636,-1.4313591232668854,0.15232731727084137,0.20749450785001095,False,-0.3291372329753624
pair:volatility_contraction+breakout_acceleration,volatility_contraction+breakout_acceleration,2,pre_decelerating,1,935,-0.021588415993450433,0.2698531983611491,-1.269970048871635,0.46737967914438505,-0.04291650066867983,-2.447548920195667,0.014383159823351048,0.026207926793090846,False,-0.33006280624843176
pair:range_compactness+breakout_strength,range_compactness+breakout_strength,2,strong_breakout,5,1149,-0.01948189908285792,0.23585056550654795,-1.3112775862070603,0.4586597040905135,-0.013218789323428142,-2.7360682030866497,0.006217813742124314,0.012231764738605207,False,-0.330188016993343
